android.permission.READ_PHONE_STATE,端末のステータスとIDの読み取り,端末の電話機能へのアクセスをアプリに許可します。これにより、電話番号、端末ID、通話中かどうか、通話相手の電話番号をアプリから特定できるようになります。
android.permission.READ_LOGS,機密ログデータの読み取り,システムの各種ログファイルの読み取りをアプリに許可します。許可すると、アプリでは携帯端末の使用に関する全般的な情報を読み取れるようになります。この情報には個人情報や機密情報が含まれる場合があります。
android.permission.GET_TASKS,実行中のアプリの取得,現在実行中または最近実行したタスクに関する情報の取得をアプリに許可します。これにより、その端末でどのアプリを使用しているかをアプリから識別できるようになる可能性があります。
android.permission.RECEIVE_SMS,テキストメッセージ（SMS）の受信,SMSメッセージの受信と処理をアプリに許可します。これにより、アプリが端末に届いたメッセージを表示することなく監視または削除できるようになります。
android.permission.READ_SMS,テキストメッセージ（SMSまたはMMS）の読み取り,携帯端末またはSIMカードに保存されているSMSメッセージの読み取りをアプリに許可します。これにより、すべてのSMSメッセージをコンテンツや機密性に関係なくアプリから読み取ることができるようになります。
android.permission.PRELOAD_WORKSPACE,,
android.permission.READ_SETTINGS,,
android.permission.WRITE_SETTINGS,システム設定の変更,システムの設定データの変更をアプリに許可します。この許可を悪意のあるアプリに利用されると、システムの設定が破損する恐れがあります。
com.android.browser.permission.READ_HISTORY_BOOKMARKS,ウェブのブックマークと履歴の読み取り,ブラウザからアクセスしたすべてのURLの履歴とブラウザのすべてのブックマークの読み取りをアプリに許可します。注: この許可は、サードパーティブラウザまたはウェブブラウジング機能を備えたその他のアプリでは適用されない場合があります。
com.android.launcher.permission.INSTALL_SHORTCUT,ショートカットのインストール,ユーザー操作なしでホーム画面にショートカットを追加することをアプリに許可します。
com.android.launcher.permission.UNINSTALL_SHORTCUT,ショートカットのアンインストール,ユーザー操作なしでホーム画面のショートカットを削除することをアプリに許可します。
com.android.launcher.permission.READ_SETTINGS,,
com.android.launcher.permission.WRITE_SETTINGS,,
jp.co.yahoo.android.yjtop.permission.C2D_MESSAGE,,
jp.co.yahoo.android.ymobile.mail.permission.C2D_MESSAGE,,
jp.co.yahoo.ymobile.launcher2.permission.C2D_MESSAGE,,
jp.co.yahoo.android.news.permission.C2D_MESSAGE,,
com.google.android.c2dm.permission.RECEIVE,,
